Agent,State,Starting Node,Ending Node
2,searching,"[32,0,88]","[140,0,80]"
0,searching,"[47,0,5]","[-20,0,-100]"
1,searching,"[-18,0,-16]","[40,0,-160]"
2,searching,"[32,0,88]","[140,0,80]"
0,searching,"[47,0,5]","[-20,0,-100]"
1,searching,"[-18,0,-16]","[40,0,-160]"
2,searching,"[32,0,88]","[140,0,80]"
0,searching,"[47,0,5]","[-20,0,-100]"
1,searching,"[-18,0,-16]","[40,0,-160]"
2,searching,"[32,0,88]","[140,0,80]"
0,searching,"[47,0,5]","[-20,0,-100]"
1,searching,"[-18,0,-16]","[40,0,-160]"
2,searching,"[32,0,88]","[140,0,80]"
0,searching,"[47,0,5]","[-20,0,-100]"
1,searching,"[-18,0,-16]","[40,0,-160]"
2,searching,"[32,0,88]","[140,0,80]"
0,searching,"[47,0,5]","[-20,0,-100]"
1,searching,"[-18,0,-16]","[40,0,-160]"
2,searching,"[32,0,88]","[140,0,80]"
0,searching,"[47,0,5]","[-20,0,-100]"
1,searching,"[-18,0,-16]","[40,0,-160]"
2,searching,"[32,0,88]","[140,0,80]"
0,searching,"[47,0,5]","[-20,0,-100]"
1,searching,"[-18,0,-16]","[40,0,-160]"
2,searching,"[32,0,88]","[140,0,80]"
0,searching,"[47,0,5]","[-20,0,-100]"
1,searching,"[-18,0,-16]","[40,0,-160]"
2,searching,"[32,0,88]","[140,0,80]"
0,searching,"[47,0,5]","[-20,0,-100]"
1,searching,"[-18,0,-16]","[40,0,-160]"
2,searching,"[32,0,88]","[140,0,80]"
0,searching,"[47,0,5]","[-20,0,-100]"
1,searching,"[-18,0,-16]","[40,0,-160]"
2,searching,"[32,0,88]","[140,0,80]"
0,searching,"[47,0,5]","[-20,0,-100]"
1,searching,"[-18,0,-16]","[40,0,-160]"
2,searching,"[32,0,88]","[140,0,80]"
0,searching,"[47,0,5]","[-20,0,-100]"
1,searching,"[-18,0,-16]","[40,0,-160]"
2,searching,"[32,0,88]","[140,0,80]"
0,searching,"[47,0,5]","[-20,0,-100]"
1,searching,"[-18,0,-16]","[40,0,-160]"
2,searching,"[32,0,88]","[140,0,80]"
0,searching,"[47,0,5]","[-20,0,-100]"
1,searching,"[-18,0,-16]","[40,0,-160]"
2,searching,"[32,0,88]","[140,0,80]"
0,searching,"[47,0,5]","[-20,0,-100]"
1,searching,"[-18,0,-16]","[40,0,-160]"
2,searching,"[32,0,88]","[140,0,80]"
0,searching,"[47,0,5]","[-20,0,-100]"
1,searching,"[-18,0,-16]","[40,0,-160]"
2,searching,"[32,0,88]","[140,0,80]"
0,searching,"[47,0,5]","[-20,0,-100]"
1,searching,"[-18,0,-16]","[40,0,-160]"
2,searching,"[32,0,88]","[140,0,80]"
0,searching,"[47,0,5]","[-20,0,-100]"
1,searching,"[-18,0,-16]","[40,0,-160]"
2,searching,"[32,0,88]","[140,0,80]"
0,searching,"[47,0,5]","[-20,0,-100]"
1,searching,"[-18,0,-16]","[40,0,-160]"
2,searching,"[32,0,88]","[140,0,80]"
0,searching,"[47,0,5]","[-20,0,-100]"
1,searching,"[-18,0,-16]","[40,0,-160]"
2,searching,"[32,0,88]","[140,0,80]"
0,searching,"[47,0,5]","[-20,0,-100]"
1,searching,"[-18,0,-16]","[40,0,-160]"
2,searching,"[32,0,88]","[140,0,80]"
0,searching,"[47,0,5]","[-20,0,-100]"
1,searching,"[-18,0,-16]","[40,0,-160]"
2,searching,"[32,0,88]","[140,0,80]"
0,searching,"[47,0,5]","[-20,0,-100]"
1,searching,"[-18,0,-16]","[40,0,-160]"
2,searching,"[32,0,88]","[140,0,80]"
0,searching,"[47,0,5]","[-20,0,-100]"
1,searching,"[-18,0,-16]","[40,0,-160]"
2,searching,"[32,0,88]","[140,0,80]"
0,searching,"[47,0,5]","[-20,0,-100]"
1,searching,"[-18,0,-16]","[40,0,-160]"
2,searching,"[32,0,88]","[140,0,80]"
0,searching,"[47,0,5]","[-20,0,-100]"
1,searching,"[-18,0,-16]","[40,0,-160]"
2,searching,"[32,0,88]","[140,0,80]"
0,searching,"[47,0,5]","[-20,0,-100]"
1,searching,"[-18,0,-16]","[40,0,-160]"
2,searching,"[32,0,88]","[140,0,80]"
0,searching,"[47,0,5]","[-20,0,-100]"
1,searching,"[-18,0,-16]","[40,0,-160]"
2,searching,"[32,0,88]","[140,0,80]"
0,searching,"[47,0,5]","[-20,0,-100]"
1,searching,"[-18,0,-16]","[40,0,-160]"
2,searching,"[32,0,88]","[140,0,80]"
0,searching,"[47,0,5]","[-20,0,-100]"
1,searching,"[-18,0,-16]","[40,0,-160]"
2,searching,"[32,0,88]","[140,0,80]"
0,searching,"[47,0,5]","[-20,0,-100]"
1,searching,"[-18,0,-16]","[40,0,-160]"
2,searching,"[32,0,88]","[140,0,80]"
0,searching,"[47,0,5]","[-20,0,-100]"
1,searching,"[-18,0,-16]","[40,0,-160]"
2,searching,"[32,0,88]","[140,0,80]"
0,searching,"[47,0,5]","[-20,0,-100]"
1,searching,"[-18,0,-16]","[40,0,-160]"
2,searching,"[32,0,88]","[140,0,80]"
0,searching,"[47,0,5]","[-20,0,-100]"
1,searching,"[-18,0,-16]","[40,0,-160]"
2,searching,"[32,0,88]","[140,0,80]"
0,searching,"[47,0,5]","[-20,0,-100]"
1,searching,"[-18,0,-16]","[40,0,-160]"
2,searching,"[32,0,88]","[140,0,80]"
0,searching,"[47,0,5]","[-20,0,-100]"
1,searching,"[-18,0,-16]","[40,0,-160]"
2,searching,"[32,0,88]","[140,0,80]"
0,searching,"[47,0,5]","[-20,0,-100]"
1,searching,"[-18,0,-16]","[40,0,-160]"
2,searching,"[32,0,88]","[140,0,80]"
0,searching,"[47,0,5]","[-20,0,-100]"
1,searching,"[-18,0,-16]","[40,0,-160]"
2,searching,"[32,0,88]","[140,0,80]"
0,searching,"[47,0,5]","[-20,0,-100]"
1,searching,"[-18,0,-16]","[40,0,-160]"
2,searching,"[32,0,88]","[140,0,80]"
0,searching,"[47,0,5]","[-20,0,-100]"
1,searching,"[-18,0,-16]","[40,0,-160]"
2,searching,"[32,0,88]","[140,0,80]"
0,searching,"[47,0,5]","[-20,0,-100]"
1,searching,"[-18,0,-16]","[40,0,-160]"
2,searching,"[32,0,88]","[140,0,80]"
0,searching,"[47,0,5]","[-20,0,-100]"
1,searching,"[-18,0,-16]","[40,0,-160]"
2,searching,"[32,0,88]","[140,0,80]"
0,searching,"[47,0,5]","[-20,0,-100]"
1,searching,"[-18,0,-16]","[40,0,-160]"
2,searching,"[32,0,88]","[140,0,80]"
0,searching,"[47,0,5]","[-20,0,-100]"
1,searching,"[-18,0,-16]","[40,0,-160]"
2,searching,"[32,0,88]","[140,0,80]"
0,searching,"[47,0,5]","[-20,0,-100]"
1,searching,"[-18,0,-16]","[40,0,-160]"
2,searching,"[32,0,88]","[140,0,80]"
0,searching,"[47,0,5]","[-20,0,-100]"
1,searching,"[-18,0,-16]","[40,0,-160]"
2,searching,"[32,0,88]","[140,0,80]"
0,searching,"[47,0,5]","[-20,0,-100]"
1,searching,"[-18,0,-16]","[40,0,-160]"
2,searching,"[32,0,88]","[140,0,80]"
0,searching,"[47,0,5]","[-20,0,-100]"
1,searching,"[-18,0,-16]","[40,0,-160]"
2,searching,"[32,0,88]","[140,0,80]"
0,searching,"[47,0,5]","[-20,0,-100]"
1,searching,"[-18,0,-16]","[40,0,-160]"
2,searching,"[32,0,88]","[140,0,80]"
0,searching,"[47,0,5]","[-20,0,-100]"
1,searching,"[-18,0,-16]","[40,0,-160]"
2,searching,"[32,0,88]","[140,0,80]"
0,searching,"[47,0,5]","[-20,0,-100]"
1,searching,"[-18,0,-16]","[40,0,-160]"
2,searching,"[32,0,88]","[140,0,80]"
0,searching,"[47,0,5]","[-20,0,-100]"
1,searching,"[-18,0,-16]","[40,0,-160]"
2,searching,"[32,0,88]","[140,0,80]"
0,searching,"[47,0,5]","[-20,0,-100]"
1,searching,"[-18,0,-16]","[40,0,-160]"
2,searching,"[32,0,88]","[140,0,80]"
0,searching,"[47,0,5]","[-20,0,-100]"
1,searching,"[-18,0,-16]","[40,0,-160]"
2,searching,"[32,0,88]","[140,0,80]"
0,searching,"[47,0,5]","[-20,0,-100]"
1,searching,"[-18,0,-16]","[40,0,-160]"
2,searching,"[32,0,88]","[140,0,80]"
0,searching,"[47,0,5]","[-20,0,-100]"
1,searching,"[-18,0,-16]","[40,0,-160]"
2,searching,"[32,0,88]","[140,0,80]"
0,searching,"[47,0,5]","[-20,0,-100]"
1,searching,"[-18,0,-16]","[40,0,-160]"
2,searching,"[32,0,88]","[140,0,80]"
0,searching,"[47,0,5]","[-20,0,-100]"
1,searching,"[-18,0,-16]","[40,0,-160]"
2,searching,"[32,0,88]","[140,0,80]"
0,searching,"[47,0,5]","[-20,0,-100]"
1,searching,"[-18,0,-16]","[40,0,-160]"
2,searching,"[32,0,88]","[140,0,80]"
0,searching,"[47,0,5]","[-20,0,-100]"
1,searching,"[-18,0,-16]","[40,0,-160]"
2,searching,"[32,0,88]","[140,0,80]"
0,searching,"[47,0,5]","[-20,0,-100]"
1,searching,"[-18,0,-16]","[40,0,-160]"
2,searching,"[32,0,88]","[140,0,80]"
0,searching,"[47,0,5]","[-20,0,-100]"
1,searching,"[-18,0,-16]","[40,0,-160]"
2,searching,"[32,0,88]","[140,0,80]"
0,searching,"[47,0,5]","[-20,0,-100]"
1,searching,"[-18,0,-16]","[40,0,-160]"
2,searching,"[32,0,88]","[140,0,80]"
0,searching,"[47,0,5]","[-20,0,-100]"
1,searching,"[-18,0,-16]","[40,0,-160]"
2,searching,"[32,0,88]","[140,0,80]"
0,searching,"[47,0,5]","[-20,0,-100]"
1,searching,"[-18,0,-16]","[40,0,-160]"
2,searching,"[32,0,88]","[140,0,80]"
0,searching,"[47,0,5]","[-20,0,-100]"
1,searching,"[-18,0,-16]","[40,0,-160]"
2,searching,"[32,0,88]","[140,0,80]"
0,searching,"[47,0,5]","[-20,0,-100]"
1,searching,"[-18,0,-16]","[40,0,-160]"
2,searching,"[32,0,88]","[140,0,80]"
0,searching,"[47,0,5]","[-20,0,-100]"
1,searching,"[-18,0,-16]","[40,0,-160]"
2,searching,"[32,0,88]","[140,0,80]"
0,searching,"[47,0,5]","[-20,0,-100]"
1,searching,"[-18,0,-16]","[40,0,-160]"
2,searching,"[32,0,88]","[140,0,80]"
0,searching,"[47,0,5]","[-20,0,-100]"
1,searching,"[-18,0,-16]","[40,0,-160]"
2,searching,"[32,0,88]","[140,0,80]"
0,searching,"[47,0,5]","[-20,0,-100]"
1,searching,"[-18,0,-16]","[40,0,-160]"
2,searching,"[32,0,88]","[140,0,80]"
0,searching,"[47,0,5]","[-20,0,-100]"
1,searching,"[-18,0,-16]","[40,0,-160]"
2,searching,"[32,0,88]","[140,0,80]"
0,searching,"[47,0,5]","[-20,0,-100]"
1,searching,"[-18,0,-16]","[40,0,-160]"
2,searching,"[32,0,88]","[140,0,80]"
0,searching,"[47,0,5]","[-20,0,-100]"
1,searching,"[-18,0,-16]","[40,0,-160]"
2,searching,"[32,0,88]","[140,0,80]"
0,searching,"[47,0,5]","[-20,0,-100]"
1,searching,"[-18,0,-16]","[40,0,-160]"
2,searching,"[32,0,88]","[140,0,80]"
0,searching,"[47,0,5]","[-20,0,-100]"
1,searching,"[-18,0,-16]","[40,0,-160]"
2,searching,"[32,0,88]","[140,0,80]"
0,searching,"[47,0,5]","[-20,0,-100]"
1,searching,"[-18,0,-16]","[40,0,-160]"
2,searching,"[32,0,88]","[140,0,80]"
0,searching,"[47,0,5]","[-20,0,-100]"
1,searching,"[-18,0,-16]","[40,0,-160]"
2,searching,"[32,0,88]","[140,0,80]"
0,searching,"[47,0,5]","[-20,0,-100]"
1,searching,"[-18,0,-16]","[40,0,-160]"
2,searching,"[32,0,88]","[140,0,80]"
0,searching,"[47,0,5]","[-20,0,-100]"
1,searching,"[-18,0,-16]","[40,0,-160]"
2,searching,"[32,0,88]","[140,0,80]"
0,searching,"[47,0,5]","[-20,0,-100]"
1,searching,"[-18,0,-16]","[40,0,-160]"
2,searching,"[32,0,88]","[140,0,80]"
0,searching,"[47,0,5]","[-20,0,-100]"
1,searching,"[-18,0,-16]","[40,0,-160]"
2,searching,"[32,0,88]","[140,0,80]"
0,searching,"[47,0,5]","[-20,0,-100]"
1,searching,"[-18,0,-16]","[40,0,-160]"
2,searching,"[32,0,88]","[140,0,80]"
0,searching,"[47,0,5]","[-20,0,-100]"
1,searching,"[-18,0,-16]","[40,0,-160]"
2,searching,"[32,0,88]","[140,0,80]"
0,searching,"[47,0,5]","[-20,0,-100]"
1,searching,"[-18,0,-16]","[40,0,-160]"
2,searching,"[32,0,88]","[140,0,80]"
0,searching,"[47,0,5]","[-20,0,-100]"
1,searching,"[-18,0,-16]","[40,0,-160]"
2,searching,"[32,0,88]","[140,0,80]"
0,searching,"[47,0,5]","[-20,0,-100]"
1,searching,"[-18,0,-16]","[40,0,-160]"
2,searching,"[32,0,88]","[140,0,80]"
0,searching,"[47,0,5]","[-20,0,-100]"
1,searching,"[-18,0,-16]","[40,0,-160]"
2,searching,"[32,0,88]","[140,0,80]"
0,searching,"[47,0,5]","[-20,0,-100]"
1,searching,"[-18,0,-16]","[40,0,-160]"
2,searching,"[32,0,88]","[140,0,80]"
0,searching,"[47,0,5]","[-20,0,-100]"
1,searching,"[-18,0,-16]","[40,0,-160]"
2,searching,"[32,0,88]","[140,0,80]"
0,searching,"[47,0,5]","[-20,0,-100]"
1,searching,"[-18,0,-16]","[40,0,-160]"
2,searching,"[32,0,88]","[140,0,80]"
0,searching,"[47,0,5]","[-20,0,-100]"
1,searching,"[-18,0,-16]","[40,0,-160]"
2,searching,"[32,0,88]","[140,0,80]"
0,searching,"[47,0,5]","[-20,0,-100]"
1,searching,"[-18,0,-16]","[40,0,-160]"
2,searching,"[32,0,88]","[140,0,80]"
0,searching,"[47,0,5]","[-20,0,-100]"
1,searching,"[-18,0,-16]","[40,0,-160]"
2,searching,"[32,0,88]","[140,0,80]"
0,searching,"[47,0,5]","[-20,0,-100]"
1,searching,"[-18,0,-16]","[40,0,-160]"
2,searching,"[32,0,88]","[140,0,80]"
0,searching,"[47,0,5]","[-20,0,-100]"
1,searching,"[-18,0,-16]","[40,0,-160]"
2,searching,"[32,0,88]","[140,0,80]"
0,searching,"[47,0,5]","[-20,0,-100]"
1,searching,"[-18,0,-16]","[40,0,-160]"
2,searching,"[32,0,88]","[140,0,80]"
0,searching,"[47,0,5]","[-20,0,-100]"
1,searching,"[-18,0,-16]","[40,0,-160]"
2,searching,"[32,0,88]","[140,0,80]"
0,searching,"[47,0,5]","[-20,0,-100]"
1,searching,"[-18,0,-16]","[40,0,-160]"
2,searching,"[32,0,88]","[140,0,80]"
0,searching,"[47,0,5]","[-20,0,-100]"
1,searching,"[-18,0,-16]","[40,0,-160]"
2,searching,"[32,0,88]","[140,0,80]"
0,searching,"[47,0,5]","[-20,0,-100]"
1,searching,"[-18,0,-16]","[40,0,-160]"
2,searching,"[32,0,88]","[140,0,80]"
0,searching,"[47,0,5]","[-20,0,-100]"
1,searching,"[-18,0,-16]","[40,0,-160]"
2,searching,"[32,0,88]","[140,0,80]"
0,searching,"[47,0,5]","[-20,0,-100]"
1,searching,"[-18,0,-16]","[40,0,-160]"
2,searching,"[32,0,88]","[140,0,80]"
0,searching,"[47,0,5]","[-20,0,-100]"
1,searching,"[-18,0,-16]","[40,0,-160]"
2,searching,"[32,0,88]","[140,0,80]"
0,searching,"[47,0,5]","[-20,0,-100]"
1,searching,"[-18,0,-16]","[40,0,-160]"
2,searching,"[32,0,88]","[140,0,80]"
0,searching,"[47,0,5]","[-20,0,-100]"
1,searching,"[-18,0,-16]","[40,0,-160]"
2,searching,"[32,0,88]","[140,0,80]"
0,searching,"[47,0,5]","[-20,0,-100]"
1,searching,"[-18,0,-16]","[40,0,-160]"
2,searching,"[32,0,88]","[140,0,80]"
0,searching,"[47,0,5]","[-20,0,-100]"
1,searching,"[-18,0,-16]","[40,0,-160]"
2,searching,"[32,0,88]","[140,0,80]"
0,searching,"[47,0,5]","[-20,0,-100]"
1,searching,"[-18,0,-16]","[40,0,-160]"
2,searching,"[32,0,88]","[140,0,80]"
0,searching,"[47,0,5]","[-20,0,-100]"
1,searching,"[-18,0,-16]","[40,0,-160]"
2,searching,"[32,0,88]","[140,0,80]"
0,searching,"[47,0,5]","[-20,0,-100]"
1,searching,"[-18,0,-16]","[40,0,-160]"
2,searching,"[32,0,88]","[140,0,80]"
0,searching,"[47,0,5]","[-20,0,-100]"
1,searching,"[-18,0,-16]","[40,0,-160]"
2,searching,"[32,0,88]","[140,0,80]"
0,searching,"[47,0,5]","[-20,0,-100]"
1,searching,"[-18,0,-16]","[40,0,-160]"
2,searching,"[32,0,88]","[140,0,80]"
0,searching,"[47,0,5]","[-20,0,-100]"
1,searching,"[-18,0,-16]","[40,0,-160]"
2,searching,"[32,0,88]","[140,0,80]"
0,searching,"[47,0,5]","[-20,0,-100]"
1,searching,"[-18,0,-16]","[40,0,-160]"
2,searching,"[32,0,88]","[140,0,80]"
0,searching,"[47,0,5]","[-20,0,-100]"
1,searching,"[-18,0,-16]","[40,0,-160]"
2,searching,"[32,0,88]","[140,0,80]"
0,searching,"[47,0,5]","[-20,0,-100]"
1,searching,"[-18,0,-16]","[40,0,-160]"
2,searching,"[32,0,88]","[140,0,80]"
0,searching,"[47,0,5]","[-20,0,-100]"
1,searching,"[-18,0,-16]","[40,0,-160]"
2,searching,"[32,0,88]","[140,0,80]"
0,searching,"[47,0,5]","[-20,0,-100]"
1,searching,"[-18,0,-16]","[40,0,-160]"
2,searching,"[32,0,88]","[140,0,80]"
0,searching,"[47,0,5]","[-20,0,-100]"
1,searching,"[-18,0,-16]","[40,0,-160]"
2,searching,"[32,0,88]","[140,0,80]"
0,searching,"[47,0,5]","[-20,0,-100]"
1,searching,"[-18,0,-16]","[40,0,-160]"
2,searching,"[32,0,88]","[140,0,80]"
0,searching,"[47,0,5]","[-20,0,-100]"
1,searching,"[-18,0,-16]","[40,0,-160]"
2,searching,"[32,0,88]","[140,0,80]"
0,searching,"[47,0,5]","[-20,0,-100]"
1,searching,"[-18,0,-16]","[40,0,-160]"
2,searching,"[32,0,88]","[140,0,80]"
0,searching,"[47,0,5]","[-20,0,-100]"
1,searching,"[-18,0,-16]","[40,0,-160]"
2,searching,"[32,0,88]","[140,0,80]"
0,searching,"[47,0,5]","[-20,0,-100]"
1,searching,"[-18,0,-16]","[40,0,-160]"
2,searching,"[32,0,88]","[140,0,80]"
0,searching,"[47,0,5]","[-20,0,-100]"
1,searching,"[-18,0,-16]","[40,0,-160]"
2,searching,"[32,0,88]","[140,0,80]"
0,searching,"[47,0,5]","[-20,0,-100]"
1,searching,"[-18,0,-16]","[40,0,-160]"
2,searching,"[32,0,88]","[140,0,80]"
0,searching,"[47,0,5]","[-20,0,-100]"
1,searching,"[-18,0,-16]","[40,0,-160]"
2,searching,"[32,0,88]","[140,0,80]"
0,searching,"[47,0,5]","[-20,0,-100]"
1,searching,"[-18,0,-16]","[40,0,-160]"
2,searching,"[32,0,88]","[140,0,80]"
0,searching,"[47,0,5]","[-20,0,-100]"
1,searching,"[-18,0,-16]","[40,0,-160]"
2,searching,"[32,0,88]","[140,0,80]"
0,searching,"[47,0,5]","[-20,0,-100]"
1,searching,"[-18,0,-16]","[40,0,-160]"
2,searching,"[32,0,88]","[140,0,80]"
0,searching,"[47,0,5]","[-20,0,-100]"
1,searching,"[-18,0,-16]","[40,0,-160]"
2,searching,"[32,0,88]","[140,0,80]"
0,searching,"[47,0,5]","[-20,0,-100]"
1,searching,"[-18,0,-16]","[40,0,-160]"
2,searching,"[32,0,88]","[140,0,80]"
0,searching,"[47,0,5]","[-20,0,-100]"
1,searching,"[-18,0,-16]","[40,0,-160]"
2,searching,"[32,0,88]","[140,0,80]"
0,searching,"[47,0,5]","[-20,0,-100]"
1,searching,"[-18,0,-16]","[40,0,-160]"
2,searching,"[32,0,88]","[140,0,80]"
0,searching,"[47,0,5]","[-20,0,-100]"
1,searching,"[-18,0,-16]","[40,0,-160]"
2,searching,"[32,0,88]","[140,0,80]"
0,searching,"[47,0,5]","[-20,0,-100]"
1,searching,"[-18,0,-16]","[40,0,-160]"
2,searching,"[32,0,88]","[140,0,80]"
0,searching,"[47,0,5]","[-20,0,-100]"
1,searching,"[-18,0,-16]","[40,0,-160]"
2,searching,"[32,0,88]","[140,0,80]"
0,searching,"[47,0,5]","[-20,0,-100]"
1,searching,"[-18,0,-16]","[40,0,-160]"
2,searching,"[140,0,80]","[-100,0,120]"
0,searching,"[47,0,5]","[-20,0,-100]"
1,searching,"[-18,0,-16]","[40,0,-160]"
2,searching,"[140,0,80]","[-100,0,120]"
0,searching,"[47,0,5]","[-20,0,-100]"
1,searching,"[-18,0,-16]","[40,0,-160]"
2,searching,"[140,0,80]","[-100,0,120]"
0,searching,"[47,0,5]","[-20,0,-100]"
1,searching,"[-18,0,-16]","[40,0,-160]"
2,searching,"[140,0,80]","[-100,0,120]"
0,searching,"[47,0,5]","[-20,0,-100]"
1,searching,"[-18,0,-16]","[40,0,-160]"
2,searching,"[140,0,80]","[-100,0,120]"
0,searching,"[47,0,5]","[-20,0,-100]"
1,searching,"[-18,0,-16]","[40,0,-160]"
2,searching,"[140,0,80]","[-100,0,120]"
0,searching,"[47,0,5]","[-20,0,-100]"
1,searching,"[-18,0,-16]","[40,0,-160]"
2,searching,"[140,0,80]","[-100,0,120]"
0,searching,"[47,0,5]","[-20,0,-100]"
1,searching,"[-18,0,-16]","[40,0,-160]"
2,searching,"[140,0,80]","[-100,0,120]"
0,searching,"[47,0,5]","[-20,0,-100]"
1,searching,"[-18,0,-16]","[40,0,-160]"
2,searching,"[140,0,80]","[-100,0,120]"
0,searching,"[47,0,5]","[-20,0,-100]"
1,searching,"[-18,0,-16]","[40,0,-160]"
2,searching,"[140,0,80]","[-100,0,120]"
0,searching,"[47,0,5]","[-20,0,-100]"
1,searching,"[-18,0,-16]","[40,0,-160]"
2,searching,"[140,0,80]","[-100,0,120]"
0,searching,"[47,0,5]","[-20,0,-100]"
1,searching,"[-18,0,-16]","[40,0,-160]"
2,searching,"[140,0,80]","[-100,0,120]"
0,searching,"[47,0,5]","[-20,0,-100]"
1,searching,"[-18,0,-16]","[40,0,-160]"
2,searching,"[140,0,80]","[-100,0,120]"
0,searching,"[47,0,5]","[-20,0,-100]"
1,searching,"[-18,0,-16]","[40,0,-160]"
2,searching,"[140,0,80]","[-100,0,120]"
0,searching,"[47,0,5]","[-20,0,-100]"
1,searching,"[-18,0,-16]","[40,0,-160]"
2,searching,"[140,0,80]","[-100,0,120]"
0,searching,"[47,0,5]","[-20,0,-100]"
1,searching,"[-18,0,-16]","[40,0,-160]"
2,searching,"[140,0,80]","[-100,0,120]"
0,searching,"[47,0,5]","[-20,0,-100]"
1,searching,"[-18,0,-16]","[40,0,-160]"
2,searching,"[140,0,80]","[-100,0,120]"
0,searching,"[47,0,5]","[-20,0,-100]"
1,searching,"[-18,0,-16]","[40,0,-160]"
2,searching,"[140,0,80]","[-100,0,120]"
0,searching,"[47,0,5]","[-20,0,-100]"
1,searching,"[-18,0,-16]","[40,0,-160]"
2,searching,"[140,0,80]","[-100,0,120]"
0,searching,"[47,0,5]","[-20,0,-100]"
1,searching,"[-18,0,-16]","[40,0,-160]"
2,searching,"[140,0,80]","[-100,0,120]"
0,searching,"[47,0,5]","[-20,0,-100]"
1,searching,"[-18,0,-16]","[40,0,-160]"
2,searching,"[140,0,80]","[-100,0,120]"
0,searching,"[47,0,5]","[-20,0,-100]"
1,searching,"[-18,0,-16]","[40,0,-160]"
2,searching,"[140,0,80]","[-100,0,120]"
0,searching,"[-20,0,-100]","[120,0,0]"
1,searching,"[-18,0,-16]","[40,0,-160]"
2,searching,"[140,0,80]","[-100,0,120]"
0,searching,"[-20,0,-100]","[120,0,0]"
1,searching,"[-18,0,-16]","[40,0,-160]"
2,searching,"[140,0,80]","[-100,0,120]"
0,searching,"[-20,0,-100]","[120,0,0]"
1,searching,"[-18,0,-16]","[40,0,-160]"
2,searching,"[140,0,80]","[-100,0,120]"
0,searching,"[-20,0,-100]","[120,0,0]"
1,searching,"[-18,0,-16]","[40,0,-160]"
2,searching,"[140,0,80]","[-100,0,120]"
0,searching,"[-20,0,-100]","[120,0,0]"
1,searching,"[-18,0,-16]","[40,0,-160]"
2,searching,"[140,0,80]","[-100,0,120]"
0,searching,"[-20,0,-100]","[120,0,0]"
1,searching,"[-18,0,-16]","[40,0,-160]"
2,searching,"[140,0,80]","[-100,0,120]"
0,searching,"[-20,0,-100]","[120,0,0]"
1,searching,"[-18,0,-16]","[40,0,-160]"
2,searching,"[140,0,80]","[-100,0,120]"
0,searching,"[-20,0,-100]","[120,0,0]"
1,searching,"[-18,0,-16]","[40,0,-160]"
2,searching,"[140,0,80]","[-100,0,120]"
0,searching,"[-20,0,-100]","[120,0,0]"
1,searching,"[-18,0,-16]","[40,0,-160]"
2,searching,"[140,0,80]","[-100,0,120]"
0,searching,"[-20,0,-100]","[120,0,0]"
1,searching,"[-18,0,-16]","[40,0,-160]"
2,searching,"[140,0,80]","[-100,0,120]"
0,searching,"[-20,0,-100]","[120,0,0]"
1,searching,"[-18,0,-16]","[40,0,-160]"
2,searching,"[140,0,80]","[-100,0,120]"
